,median_size
0,303692.0
1,107593.0
4,40960.0
5,82432.0
6,40960.0
7,15469716.0
8,282112.0
9,46080.0
11,1500707.0
12,143872.0
13,145862.0
14,59648.0
15,334524.0
16,1820443.0
17,71680.0
18,3698638.0
19,2188976.0
21,31696.0
23,285576.0
24,1114981.0
25,3697664.0
26,3838976.0
29,29971903.5
31,4224240.0
33,3771424.0
34,3671004.0
35,854016.0
36,866304.0
38,477184.0
39,101376.0
40,7107.5
41,352193.0
42,238892.0
43,237312.0
44,117248.0
45,249856.0
46,386048.0
49,55296.0
50,2375510.0
51,5001616.0
53,4796154.0
55,1033855.0
56,98304.0
57,612196.0
59,156028.0
60,6180448.0
61,3281592.0
62,845780.0
63,5810431.0
65,1119744.0
67,4939520.0
68,918728.0
69,63488.0
70,328472.0
71,167227.5
73,625408.0
74,437248.0
75,207410.5
76,1055744.0
77,9728.0
78,117000.0
79,137936.0
80,5778675.0
81,440068.0
83,150016.0
84,37888.0
85,241664.0
87,102400.0
88,356250.0
89,413184.0
90,5067036.0
91,385024.0
92,509860.0
93,5019648.0
94,13243392.0
95,226560.0
96,152064.0
97,301568.0
98,681352.0
99,335960.0
101,195584.0
103,39168.0
104,38912.0
105,848105.5
106,31964377.0
107,125952.0
108,205896.0
110,1963072.0
111,17921752.0
112,2234643.0
113,56832.0
114,28672.0
115,249856.0
116,232448.0
118,79533896.0
119,212992.0
120,1927680.0
121,238059.5
122,18133543.5
124,47336.0
125,253774.0
126,82634.0
127,184320.0
128,4613632.0
129,57128.0
130,3183360.0
133,258560.0
135,3130126.0
136,268332.0
137,1952872.0
140,448768.0
141,156672.0
142,258560.0
143,107904.0
144,27648.0
146,2530304.0
148,312251.5
149,70144.0
150,98404.0
151,260009.0
152,299008.0
153,141312.0
154,94208.0
155,479232.0
156,629248.0
157,6294272.0
158,9076032.0
159,569531.5
160,5003769.5
161,931166.0
162,38912.0
164,110587.5
167,768512.0
168,297472.0
169,708608.0
170,274.0
171,1287168.0
173,917294.0
174,19894.0
176,82625.0
177,139264.0
178,688384.0
179,13904.0
180,115712.0
181,388352.0
182,259536.0
183,6734616.0
184,3489792.0
185,1586944.0
186,2508376.0
187,667828.0
188,1092136.0
190,1974272.0
191,3504.0
192,75160.0
193,678912.0
194,74752.0
195,118784.0
196,450628.0
197,28160.0
199,224721.0
200,212799.0
202,6674211.0
203,55846136.0
204,1824182.0
205,1543888.0
206,6248855.0
207,852480.0
208,32979.5
209,583112.0
210,67784.5
213,558144.0
214,673792.0
215,60416.0
216,860160.0
218,83456.0
219,4254976.0
220,127290.0
222,1237041.0
223,129024.0
225,100576.5
226,827366.0
230,2671104.0
234,857136.0
235,686399.5
237,72192.0
238,6720512.0
240,143360.0
242,103100.0
243,39424.0
245,69913.0
247,302592.0
248,117935.0
251,1817600.0
252,216064.0
253,1388352.0
254,261120.0
255,1725696.0
256,11390.0
257,763528.0
258,284160.0
259,11264.0
260,1313792.0
261,358656.0
262,1268420.0
263,48070.0
264,864256.0
265,806731.5
269,486144.0
270,156342.5
271,367073.0
272,30348.0
274,329697.0
276,62472.0
277,3020043.5
278,607744.0
279,3559898.0
280,157696.0
281,278528.0
282,160256.0
283,5415597.0
285,1344512.0
286,125187.0
287,685568.0
288,5110.0
289,732408.0
291,43008.0
292,606208.0
293,3536384.0
294,8448.0
296,32768.0
298,1760356.0
300,133296.0
301,504008.0
302,192240.0
303,434444.0
304,889094.5
305,4564672.0
306,694272.0
307,65024.0
308,786432.0
310,14848.0
334,3337703.0
335,1553.5
338,87916.0
339,1269584.0
340,114912.0
341,55149.0
342,1194193.0
343,277962.0
344,225778.5
345,1725528.0
346,22032.0
347,127808.0
348,1256860.0
350,190921.5
351,298223.0
352,113838.0
353,18944.0
354,137123.0
356,10221296.0
357,2654691.0
358,3559683.5
360,532480.0
361,63488.0
362,57828.0
363,46654.5
364,100096.0
366,164352.0
367,116992.0
368,207360.0
369,7116092.0
370,96768.0
371,94208.0
372,331776.0
373,2372096.0
374,1049228.0
375,709002.0
377,451467.0
378,23234816.0
380,274664.0
381,747444.0
382,5632.0
383,326656.0
384,55788.0
385,103982.0
386,1359872.0
387,300544.0
388,144561.0
389,211192.5
390,188416.0
391,44028.0
392,378316.0
393,466025.0
396,61952.0
397,18396.0
399,524818.0
400,16384.0
402,574140.0
403,260096.0
404,33792.0
405,801561.0
406,1222656.0
407,516096.0
408,716168.0
409,208972.0
410,94390.0
411,1348815.5
412,65280.0
413,142959.0
414,5688320.0
415,249856.0
417,539361.0
420,97280.0
421,2040417.0
422,266240.0
423,697856.0
424,783872.0
425,315392.0
426,500938.5
427,154624.0
428,110080.0
429,13849.0
431,166147.0
434,426496.0
436,5054976.0
437,1533440.0
438,92992.0
439,231936.0
440,21336.0
441,44524.5
442,131584.0
443,5245009.0
444,27392.0
445,63176.5
446,133632.0
447,431.0
451,1192704.0
580,474176.0
581,958456.0
582,7857152.0
583,1271675.5
587,11319707.0
588,120850.0
589,110805.0
590,618016.0
591,1362791.0
592,149515.5
672,33805.0
673,5188211.0
674,10558480.0
675,263680.0
676,648360.0
720,21353.5
721,242036.5
722,359424.0
723,1590416.5
724,303232.0
726,636416.0
727,277456.0
728,5689600.0
729,367459.5
731,57089.5
732,372736.0
733,717552.0
734,49152.0
735,106240.0
736,252176.5
737,2186240.0
738,38656.0
740,238080.0
741,328704.0
742,49920.0
744,441856.0
746,744960.0
747,97721.0
748,59392.0
749,2757.0
751,2661959.5
752,535768.0
753,1186560.0
754,922568.5
755,610748.0
756,229376.0
757,632891.0
759,176128.0
760,5920190.0
761,636672.0
762,293215.0
763,90125.0
764,35086.0
765,44800.0
766,403444.0
767,214648.0
836,67344.5
882,69632.0
883,69632.0
885,534528.0
886,3642880.0
888,44804.0
889,3874288.0
891,608256.0
892,1138075.0
894,741888.0
896,110592.0
897,119296.0
898,1101824.0
899,448793.0
900,4412155.0
927,253184.0
